A14       2014ApJ...788L..21A Amanullah et al.
Bailey+09 2009A&A...500L..17B Bailey et al.           Cat. J/A+A/500/L17
brown14   2014ApJ...787...29B Brown et al.
B04       2004MNRAS.348..261B Benetti et al.
BN12      2012MNRAS.425.1007B Barone-Nugent et al.
Bi12      2012A&A...537A..57B Biscardi et al.
Br12      2012PhDT.......170B Bryngelson G.
C10       2010AJ....139..519C Contreras et al.        Cat. J/AJ/139/519
Ca03      2003PASP..115..277C Candia et al.
Ca14      2014ApJ...789...89C Cartier et al.
CfA1      1999AJ....117..707R Riess et al.
CfA2      2006AJ....131..527J Jha et al.              Cat. J/AJ/131/527
CfA3      2009ApJ...700..331H Hicken et al.           Cat. J/ApJ/700/331
CfA4      2012ApJS..200...12H Hicken et al.           Cat. J/ApJS/200/12
CfA5                                                  in preparation;
CfAIR2                                                this paper;
Cu02      2002RMxAC..14..121C Cuadra et al.
DP02      2002A&A...393L..21D Di Paola et al.
ER06      2006MNRAS.369.1880E Elias-Rosa et al.       Cat. J/MNRAS/369/1880
ER08      2008MNRAS.384..107E Elias-Rosa et al.       Cat. J/MNRAS/384/107
F09       2009AJ....138..376F Foley et al.
F13       2013ApJ...767...57F Foley et al.
F14b      2014MNRAS.443.2887F Foley et al.
G04       2004ApJ...613.1120G Garnavich et al.
G10       2010ApJS..190..418G Ganeshalingam et al.    Cat. J/ApJS/190/418
Go14      2014ApJ...784L..12G Goobar et al.
H00       2000MNRAS.319..223H Hernandez et al.
J99       1999ApJS..125...73J Jha et al.
K00       2000ApJ...539..658K Krisciunas et al.
K01       2001AJ....122.1616K Krisciunas et al.
K03       2003AJ....125..166K Krisciunas et al.
K04b      2004AJ....127.1664K Krisciunas et al.
K04c      2004AJ....128.3034K Krisciunas et al.
K05       2005AJ....130.2453K Krisciunas et al.       Cat. J/AJ/130/2453
K07       2007AJ....133...58K Krisciunas et al.
K09       2009AJ....138.1584K Krisciunas et al.
K11       2011AJ....142...74K Krisciunas et al.
L09       2009A&A...505..265L Leloudas et al.
M12       2012ApJ...754...19M Matheson et al.
Mc14b     2014ApJ...786..134M McCully et al.
P08       2008MNRAS.388..971P Pignata et al.
Pa07a     2007MNRAS.377.1531P Pastorello et al.       Cat. J/MNRAS/377/1531
Pa07b     2007MNRAS.376.1301P Pastorello et al.       Cat. J/MNRAS/376/1301
Pa11      2011ApJ...732...30P Parrent et al.
Ph06      2006AJ....131.2615P Phillips et al.
Ph07      2007PASP..119..360P Phillips et al.
R14       2014ApJ...795...44R Rest et al.
S07       2007A&A...470L...1S Stritzinger & Sollerman
S08       2008AJ....136.1482S Schweizer et al.
S10       2010AJ....140.2036S Stritzinger et al.
S11       2011AJ....142..156S Stritzinger et al.      Cat. J/AJ/142/156
S14       2014A&A...561A.146S Stritzinger et al.      Cat. J/A+A/561/A146
S15       2015A&A...573A...2S Stritzinger et al.      Cat. J/A+A/573/A2
Si13      2013MNRAS.436.1225S Silverman et al.
So04      2004A&A...428..555S Sollerman et al.        Cat. J/A+A/428/555
St07      2007A&A...469..645S Stanishev et al.
T08       2008MNRAS.385...75T Taubenberger et al.
T11       2011MNRAS.412.2735T Taubenberger et al.
Ta12      2012A&A...545L...7T Taddia et al.
V03       2003ApJ...595..779V Valentini et al.
W14       2014ApJ...784..105W Weyant et al.
WV08      2008ApJ...689..377W Wood-Vasey et al.       Cat. J/ApJ/689/377
WX08      2008ApJ...675..626W Wang et al.
WX09      2009ApJ...697..380W Wang et al.
Y09       2009ApJ...707L.118Y Yamanaka et al.
AAVSO_392                                             http://www.aavso.org/aavso-alert-notice-392
AAVS0_404                                             http://www.aavso.org/aavso-special-notice-404 
AAVS0_432                                             http://www.aavso.org/aavso-alert-notice-432
