SN2005ao        53442.    2.   IAUC_8492           0.03819 0.00099 -9999.    -9999.    18.51 0.18 17.87 0.18 17.49 0.14  9  8 10
SN2005bo        53477.99  0.53 C10,G10             0.01502 0.00108     0.146     0.060 16.33 0.04 15.55 0.07 15.53 0.12 15 16 13
SN2005cf        53533.56  0.11 CfA3,Pa07a,WX09,G10 0.00702 0.00109    -0.108     0.032 13.83 0.04 13.96 0.02 13.97 0.02 17 17 15
SN2005ch        53536.    3.   CBET_167            0.02782 0.00103 -9999.    -9999.    17.02 0.03 16.79 0.08 16.05 0.06 13 11  8
SN2005el        53646.33  0.17 CfA3,G10            0.01490 0.00100     0.256     0.044 15.46 0.03 15.54 0.05 15.24 0.05 35 34 24
SN2005eq        53653.73  0.19 CfA3,G10            0.02837 0.00098 -9999.    -9999.    16.83 0.03 17.08 0.06 16.77 0.18 31 33 29
SN2005eu        53659.70  0.16 CfA3,G10            0.03334 0.00098    -0.153     0.039 17.14 0.07 16.96 0.10 16.81 0.17 23 23 14
SN2005iq        53687.45  0.22 CfA3,C10            0.03191 0.00097     0.157     0.049 17.26 0.08 17.14 0.09 17.68 0.18 12  9  2
SN2005ls        53714.    2.   CfA3                0.02051 0.00097 -9999.    -9999.    16.61 0.17 15.85 0.25 15.67 0.25 21 19 19
SN2005na        53740.57  0.36 CfA3,C10,G10        0.02683 0.00102 -9999.    -9999.    17.40 0.07 17.12 0.25 16.80 0.26 13  4 10
SN2006D         53757.30  0.21 CfA3,C10,G10        0.00965 0.00113 -9999.    -9999.    14.34 0.02 14.61 0.04 14.45 0.06 23 21 17
SN2006E         53729.   10.   ATEL_690            0.00364 0.00134 -9999.    -9999.    14.91 0.01 14.08 0.01 14.22 0.06 30 29 25
SN2006N         53760.44  0.50 CfA3                0.01427 0.00100     0.468     0.066 16.02 0.09 15.65 0.23 15.49 0.04 14 12  7
SN2006X         53785.90  0.11 CfA3,C10,WX08,G10   0.00627 0.00121    -0.040     0.030 12.92 0.01 12.90 0.02 12.81 0.03 45 44 37
